nums,rand_bts_rem,comp_bts_rem,std_lset_rem
0,5.954e-05,4.54e-06,1.665e-05
1,6.327e-05,7.57e-06,1.958e-05
2,6.67e-05,1.029e-05,2.109e-05
3,7.084e-05,1.272e-05,2.311e-05
4,7.589e-05,3.33e-05,2.452e-05
5,8.073e-05,3.603e-05,2.604e-05
6,8.416e-05,3.865e-05,2.775e-05
7,8.729e-05,4.077e-05,2.906e-05
8,0.00010657,4.279e-05,3.038e-05
9,0.00041305,4.46e-05,3.179e-05
10,0.00041739,4.622e-05,3.36e-05
11,0.00042062,4.783e-05,3.492e-05
12,0.00042415,4.924e-05,3.623e-05
13,0.00042597,5.066e-05,3.764e-05
14,0.0004301,5.298e-05,3.936e-05
15,0.00043303,7.326e-05,4.067e-05
16,0.00043646,7.467e-05,4.188e-05
17,0.00043939,7.619e-05,4.329e-05
18,0.00044292,7.78e-05,4.46e-05
19,0.00044676,7.911e-05,4.592e-05
20,0.00044928,8.053e-05,4.713e-05
21,0.000452,8.285e-05,4.854e-05
22,0.00045654,8.507e-05,4.975e-05
23,0.00046098,8.678e-05,5.116e-05
24,0.00046341,8.799e-05,5.247e-05
25,0.00046674,8.951e-05,5.379e-05
26,0.00046906,0.00010444,5.5e-05
27,0.00047198,0.00010575,5.621e-05
28,0.00047481,0.00010707,5.742e-05
29,0.00049398,0.00010898,5.873e-05
30,0.00049701,0.0001105,6.004e-05
31,0.00049974,0.00011171,6.126e-05
32,0.00050256,0.00011292,6.257e-05
33,0.00050529,0.00011433,6.388e-05
34,0.0005071,0.00011554,6.509e-05
35,0.00050892,0.00011665,6.64e-05
36,0.00051326,0.00011887,6.761e-05
37,0.00051528,0.0001212,6.893e-05
38,0.00051871,0.00012331,7.034e-05
39,0.00052012,0.00012493,7.165e-05
40,0.00052295,0.00012594,7.296e-05
41,0.00052719,0.00012745,7.427e-05
42,0.00052941,0.00012897,7.579e-05
43,0.00053243,0.00013018,7.71e-05
44,0.00053445,0.00013139,7.851e-05
45,0.00053788,0.00013341,7.982e-05
46,0.00054071,0.00013492,8.113e-05
47,0.00054363,0.00013613,8.234e-05
48,0.00054656,0.00013734,8.366e-05
49,0.00054888,0.00013866,8.487e-05
50,0.00055251,0.00013977,8.628e-05
51,0.00055544,0.00014098,8.759e-05
52,0.00055827,0.0001431,8.89e-05
53,0.00056119,0.00014512,9.022e-05
54,0.00056351,0.00014663,9.143e-05
55,0.00056806,0.00014754,9.264e-05
56,0.00057068,0.00014875,9.405e-05
57,0.00057361,0.00015006,9.536e-05
58,0.00057724,0.00015127,9.668e-05
59,0.00057996,0.00015248,9.809e-05
60,0.00058239,0.0001544,9.94e-05
61,0.00058481,0.00015571,0.00010071
62,0.00058854,0.00015672,0.00010213
63,0.00059187,0.00015783,0.00010334
64,0.0005946,0.00015894,0.00010465
65,0.00059712,0.00015995,0.00010596
66,0.00059985,0.00016096,0.00010717
67,0.00060227,0.00016348,0.00010848
68,0.0006061,0.0001656,0.0001099
69,0.00060883,0.00016772,0.00011111
70,0.00061115,0.00016974,0.00011242
71,0.00061408,0.00017135,0.00011363
72,0.00061751,0.00017216,0.00011494
73,0.00061973,0.00017368,0.00011636
74,0.00062245,0.00017519,0.00011757
75,0.00064243,0.0001764,0.00011878
76,0.00064475,0.00017771,0.00012049
77,0.00064839,0.00017963,0.00012191
78,0.00065131,0.00018114,0.00012312
79,0.00065363,0.00018225,0.00012443
80,0.00065646,0.00018356,0.00012584
81,0.00065989,0.00018488,0.00012715
82,0.00066373,0.00018599,0.00012836
83,0.00066776,0.0001872,0.00012968
84,0.00067049,0.00018962,0.00013109
85,0.00067362,0.00019164,0.0001323
86,0.00067604,0.00019315,0.00013351
87,0.00067957,0.00019416,0.00013482
88,0.00068159,0.00019547,0.00013603
89,0.00068431,0.00019668,0.00013724
90,0.00068613,0.00019779,0.00013846
91,0.00068936,0.0001989,0.00013967
92,0.00069259,0.00020072,0.00014098
93,0.00069632,0.00020203,0.00014229
94,0.00069854,0.00020294,0.0001435
95,0.00070097,0.00020405,0.00014502
96,0.00070399,0.00020516,0.00014633
97,0.00070742,0.00020617,0.00014774
98,0.00071075,0.00020718,0.00014905
99,0.00071328,0.0002094,0.00015026
100,0.000716,0.00021152,0.00015147
101,0.00071832,0.00021343,0.00015268
102,0.00072074,0.00021485,0.0001539
103,0.00072438,0.00021565,0.00015521
104,0.0007273,0.00021696,0.00015642
105,0.00073467,0.00021828,0.00015773
106,0.00073881,0.00021939,0.00015894
107,0.00074153,0.0002205,0.00016015
108,0.00074527,0.00022241,0.00016157
109,0.00074809,0.00022373,0.00016288
110,0.00075102,0.00022463,0.00016429
111,0.00075536,0.00022574,0.0001656
112,0.00075798,0.00022696,0.00016681
113,0.00076061,0.00022797,0.00016802
114,0.00076404,0.00022897,0.00016934
115,0.00076939,0.00023079,0.00017055
116,0.00077171,0.00023261,0.00017186
117,0.00077514,0.00023392,0.00017307
118,0.00077847,0.00023473,0.00017438
119,0.00078059,0.00023594,0.00017559
120,0.00078473,0.00023705,0.0001768
121,0.00078664,0.00023796,0.00017811
122,0.00078937,0.00023897,0.00017933
123,0.00079209,0.00024068,0.00018054
124,0.00079482,0.00024179,0.00018175
125,0.00079704,0.0002426,0.00018306
126,0.00080047,0.00024361,0.00018427
127,0.00080279,0.00024462,0.00018548
128,0.00080582,0.00024552,0.00018669
129,0.00080884,0.00024633,0.000188
130,0.00081177,0.00024896,0.00018922
131,0.00081389,0.00025128,0.00019043
132,0.00081692,0.0002535,0.00019164
133,0.00081914,0.00025572,0.00019285
134,0.00082237,0.00025773,0.00019406
135,0.00082408,0.00025925,0.00019527
136,0.00082701,0.00025995,0.00019658
137,0.00082984,0.00026137,0.00019789
138,0.00083206,0.00026278,0.00019911
139,0.0008365,0.00026399,0.00020032
140,0.00083882,0.0002652,0.00020163
141,0.00084134,0.00026712,0.00020284
142,0.00084306,0.00026853,0.00020405
143,0.00084497,0.00026954,0.00020526
144,0.00084881,0.00027075,0.00020677
145,0.00085053,0.00027196,0.00020809
146,0.00085214,0.00027307,0.0002093
147,0.00085476,0.00027418,0.00021051
148,0.00085638,0.0002761,0.00021172
149,0.00085799,0.00027802,0.00021293
150,0.00085941,0.00027943,0.00021424
151,0.00086082,0.00028034,0.00021555
152,0.00086243,0.00028155,0.00021687
153,0.00086495,0.00028276,0.00021818
154,0.00086637,0.00028377,0.00021949
155,0.00086889,0.00028488,0.0002208
156,0.00087081,0.0002866,0.00022211
157,0.00087343,0.00028791,0.00022343
158,0.00087676,0.00028892,0.00022464
159,0.00087928,0.00029003,0.00022585
160,0.00088211,0.00029124,0.00022706
161,0.00088595,0.00029225,0.00022827
162,0.00088877,0.00029326,0.00022948
163,0.0008919,0.00029548,0.00023069
164,0.00089472,0.0002975,0.0002319
165,0.00089735,0.00029941,0.00023311
166,0.00090128,0.00030093,0.00023443
167,0.00090482,0.00030174,0.00023564
168,0.00090774,0.00030305,0.00023685
169,0.00090946,0.00030436,0.00023816
170,0.00091339,0.00030557,0.00023937
171,0.00091491,0.00030678,0.00024068
172,0.00091652,0.0003086,0.00024199
173,0.00092005,0.00031001,0.00024331
174,0.00092268,0.00031102,0.00024452
175,0.00092581,0.00031213,0.00024573
176,0.00092752,0.00031334,0.00024694
177,0.00092853,0.00031435,0.00024815
178,0.00093176,0.00031556,0.00024946
179,0.00093327,0.00031768,0.00025067
180,0.00093529,0.0003196,0.00025199
181,0.00093852,0.00032091,0.0002535
182,0.00094205,0.00032182,0.00025471
183,0.00094447,0.00033857,0.00025592
184,0.0009472,0.00033968,0.00025713
185,0.00094841,0.00034069,0.00025854
186,0.00095043,0.0003417,0.00025986
187,0.00095214,0.00034331,0.00026107
188,0.00095416,0.00034443,0.00026238
189,0.00095568,0.00034523,0.00026369
190,0.00095769,0.00034624,0.0002649
191,0.00096012,0.00034725,0.00026621
192,0.00096304,0.00034806,0.00026753
193,0.00096496,0.00034887,0.00026874
194,0.00096839,0.00035099,0.00026995
195,0.00097071,0.000353,0.00027116
196,0.00097303,0.00035492,0.00027237
197,0.00097445,0.00035684,0.00027358
198,0.00097697,0.00035825,0.00027489
199,0.00097848,0.00035896,0.0002762
200,0.00098161,0.00036027,0.00027752
201,0.00098403,0.00036158,0.00027873
202,0.00098716,0.00036269,0.00027994
203,0.00098898,0.0003638,0.00028115
204,0.0009911,0.00036552,0.00028246
205,0.00099372,0.00036683,0.00028377
206,0.00099715,0.00036774,0.00028498
207,0.00099977,0.00036885,0.00028619
208,0.00100321,0.00037006,0.00028751
209,0.00100583,0.00037097,0.00028882
210,0.00100765,0.00037197,0.00029003
211,0.00100896,0.00037379,0.00029124
212,0.00101168,0.00037561,0.00029245
213,0.0010134,0.00037692,0.00029366
214,0.00101532,0.00037773,0.00029497
215,0.00101673,0.00037894,0.00029629
216,0.00101804,0.00038005,0.0002975
217,0.00101996,0.00038106,0.00029871
218,0.00102208,0.00038196,0.00029992
219,0.00102379,0.00038348,0.00030113
220,0.00102662,0.00038459,0.00030224
221,0.00102803,0.0003854,0.00030355
222,0.00103086,0.00038641,0.00030486
223,0.00103399,0.00038741,0.00030607
224,0.00103631,0.00038822,0.00030718
225,0.00103833,0.00038903,0.0003084
226,0.00104105,0.00039125,0.00030961
227,0.00104398,0.00039327,0.00031092
228,0.0010469,0.00039498,0.00031213
229,0.00104953,0.00039629,0.00031334
230,0.00105175,0.000397,0.00031455
231,0.00105599,0.00039821,0.00031576
232,0.00105841,0.00039942,0.00031697
233,0.00106073,0.00040033,0.00031829
234,0.00106376,0.00040134,0.0003195
235,0.00106547,0.00040296,0.00032081
236,0.00106769,0.00040407,0.00032202
237,0.00107042,0.00040487,0.00032323
238,0.00107274,0.00040588,0.00032454
239,0.00107536,0.00040689,0.00032585
240,0.00107849,0.0004077,0.00032706
241,0.00108031,0.00040851,0.00032818
242,0.00108253,0.00041012,0.00032939
243,0.00108485,0.00041173,0.0003307
244,0.00108768,0.00041295,0.00033191
245,0.00108959,0.00041375,0.00033312
246,0.00109212,0.00041466,0.00033433
247,0.00109353,0.00041557,0.00033564
248,0.00109504,0.00041638,0.00033685
249,0.00109757,0.00041729,0.00033806
250,0.00109999,0.0004187,0.00033938
251,0.00110261,0.00041971,0.00034059
252,0.00110473,0.00042031,0.0003418
253,0.00110776,0.00042112,0.00034301
254,0.00110998,0.00042203,0.00034432
255,0.00111341,0.00042274,0.00034563
256,0.00111573,0.00042345,0.00034695
257,0.00111775,0.00042627,0.00034816
258,0.00112088,0.00042889,0.00034937
259,0.00112451,0.00043132,0.00035068
260,0.00112623,0.00043384,0.00035189
261,0.00112875,0.00043616,0.0003532
262,0.00113097,0.00043828,0.00035451
263,0.00113309,0.00043979,0.00035573
264,0.00113562,0.0004404,0.00035704
265,0.00113874,0.00044191,0.00035835
266,0.00114086,0.00044343,0.00035956
267,0.0011445,0.00044464,0.00036077
268,0.00114662,0.00044595,0.00036198
269,0.00114914,0.00044797,0.00036309
270,0.00115156,0.00044938,0.0003644
271,0.00115358,0.00045049,0.00036562
272,0.0011558,0.0004518,0.00036683
273,0.00115812,0.00045311,0.00036804
274,0.00116004,0.00045422,0.00036925
275,0.00116226,0.00045533,0.00037046
276,0.00116428,0.00045735,0.00037177
277,0.0011668,0.00045927,0.00037308
278,0.00117033,0.00046068,0.00037429
279,0.00117265,0.00046169,0.00037561
280,0.00117487,0.0004629,0.00037692
281,0.00117871,0.00046411,0.00037823
282,0.00118082,0.00046522,0.00037934
283,0.00118335,0.00046633,0.00038055
284,0.00118668,0.00046805,0.00038186
285,0.00118991,0.00046936,0.00038307
286,0.00119243,0.00047037,0.00038429
287,0.00119485,0.00047158,0.0003855
288,0.00119717,0.00047269,0.00038671
289,0.00119939,0.0004737,0.00038792
290,0.00120192,0.00047471,0.00038913
291,0.00120454,0.00047693,0.00039034
292,0.00120686,0.00047895,0.00039155
293,0.00120938,0.00048087,0.00039286
294,0.00121241,0.00048228,0.00039407
295,0.00121463,0.00048309,0.00039539
296,0.00121584,0.0004844,0.0003966
297,0.00121867,0.00048571,0.00039781
298,0.00122038,0.00048682,0.00039902
299,0.00122311,0.00048793,0.00040023
300,0.00122502,0.00048985,0.00040154
301,0.00122866,0.00049116,0.00040265
302,0.00123118,0.00049207,0.00040396
303,0.0012331,0.00049318,0.00040528
304,0.00123602,0.00049439,0.00040649
305,0.00123734,0.0004954,0.0004078
306,0.00123966,0.00049641,0.00040911
307,0.00124178,0.00049843,0.00041032
308,0.0012446,0.00050024,0.00041153
309,0.00124783,0.00050155,0.00041284
310,0.00125025,0.00050236,0.00041406
311,0.00125237,0.00050347,0.00041537
312,0.0012551,0.00050458,0.00041668
313,0.00125752,0.00050559,0.00041799
314,0.00125944,0.0005066,0.0004192
315,0.00126226,0.00050822,0.00042041
316,0.00126408,0.00050943,0.00042162
317,0.0012658,0.00051034,0.00042294
318,0.00126721,0.00051134,0.00042425
319,0.00127044,0.00051235,0.00042556
320,0.00127225,0.00051326,0.00042687
321,0.00127326,0.00051417,0.00042808
322,0.00127558,0.00051659,0.00042929
323,0.00127922,0.00051861,0.00043051
324,0.00128275,0.00052053,0.00043172
325,0.00128547,0.00052234,0.00043313
326,0.0012882,0.00052376,0.00043434
327,0.00129062,0.00052446,0.00043555
328,0.00129345,0.00052578,0.00043676
329,0.00129546,0.00052709,0.00043797
330,0.00129849,0.0005282,0.00043918
331,0.00130021,0.00052931,0.0004404
332,0.00130293,0.00053112,0.00044171
333,0.00130576,0.00053244,0.00044282
334,0.00130828,0.00053345,0.00044403
335,0.00130919,0.00053456,0.00044524
336,0.00131131,0.00053567,0.00044645
337,0.00131323,0.00053667,0.00044766
338,0.00131595,0.00053768,0.00044887
339,0.00131797,0.0005397,0.00045008
340,0.00132009,0.00054152,0.0004513
341,0.00132231,0.00054283,0.00045241
342,0.00132402,0.00054364,0.00045372
343,0.00132766,0.00054485,0.00045493
344,0.00132978,0.00054596,0.00045614
345,0.0013327,0.00054687,0.00045735
346,0.00133532,0.00054778,0.00045856
347,0.00133724,0.00054939,0.00045977
348,0.00133916,0.0005506,0.00046108
349,0.00134087,0.00055141,0.0004623
350,0.00134229,0.00055232,0.00046351
351,0.0013442,0.00055333,0.00046472
352,0.00134572,0.00055413,0.00046583
353,0.00134743,0.00055494,0.00046694
354,0.00134905,0.00055696,0.00046825
355,0.00135137,0.00055878,0.00046956
356,0.00135339,0.00056059,0.00047077
357,0.00135591,0.0005619,0.00047198
358,0.00135742,0.00056261,0.00047319
359,0.00136055,0.00056372,0.0004744
360,0.00136318,0.00056483,0.00047562
361,0.0013654,0.00056584,0.00047683
362,0.00136842,0.00056685,0.00047814
363,0.00137276,0.00056877,0.00047935
364,0.00137589,0.00056988,0.00048056
365,0.00137821,0.00057078,0.00048177
366,0.00138124,0.00057179,0.00048308
367,0.00138386,0.0005728,0.00048429
368,0.00138618,0.00057361,0.00048561
369,0.00138881,0.00057442,0.00048692
370,0.00139163,0.00057613,0.00048813
371,0.00139476,0.00057765,0.00048934
372,0.00139729,0.00057876,0.00049055
373,0.0013991,0.00057946,0.00049176
374,0.00140142,0.00058037,0.00049297
375,0.00140425,0.00058128,0.00049418
376,0.00140667,0.00058209,0.00049539
377,0.00140919,0.000583,0.00049661
378,0.00141162,0.00058451,0.00049782
379,0.00141283,0.00058552,0.00049893
380,0.00141565,0.00058623,0.00050014
381,0.00141898,0.00058703,0.00050135
382,0.00142181,0.00058794,0.00050246
383,0.00142362,0.00058865,0.00050367
384,0.00142675,0.00058935,0.00050488
385,0.00142907,0.00059198,0.00050599
386,0.0014318,0.0005943,0.0005072
387,0.00143412,0.00059642,0.00050851
388,0.00145511,0.00059844,0.00050983
389,0.00145693,0.00060035,0.00051104
390,0.00145935,0.00060187,0.00051215
391,0.00146157,0.00060247,0.00051336
392,0.00146359,0.00060379,0.00051457
393,0.00146591,0.0006051,0.00051568
394,0.00146793,0.00060621,0.00051689
395,0.00147146,0.00060722,0.0005181
396,0.00147398,0.00060893,0.00051931
397,0.00147681,0.00061034,0.00052052
398,0.00147933,0.00061135,0.00052173
399,0.00150173,0.00061246,0.00052294
400,0.00150537,0.00061367,0.00052416
401,0.00150819,0.00061458,0.00052547
402,0.00151102,0.00061579,0.00052668
403,0.00151324,0.00061751,0.00052789
404,0.00151616,0.00061923,0.0005291
405,0.0015196,0.00062054,0.00053031
406,0.00152303,0.00062134,0.00053152
407,0.00152686,0.00062246,0.00053273
408,0.00152979,0.00062357,0.00053394
409,0.00153181,0.00062447,0.00053526
410,0.00153473,0.00062538,0.00053657
411,0.00153715,0.0006269,0.00053778
412,0.00153968,0.00062811,0.00053899
413,0.0015423,0.00062891,0.0005401
