nums,rand_bts_ins,comp_bts_ins,std_lset_ins
0,6.27e-06,2.06e-06,1.067e-05
1,0.0001794,2.84e-06,3.613e-05
2,0.00018214,3.82e-06,3.76e-05
3,0.00018449,4.9e-06,3.868e-05
4,0.00018665,5.97e-06,4.015e-05
5,0.00018851,7.15e-06,4.123e-05
6,0.00020946,8.52e-06,4.211e-05
7,0.00021201,9.99e-06,4.299e-05
8,0.00021485,1.155e-05,4.407e-05
9,0.0002171,1.342e-05,4.505e-05
10,0.0002362,1.518e-05,4.602e-05
11,0.00023894,1.675e-05,4.7e-05
12,0.00024178,1.851e-05,4.789e-05
13,0.0002453,2.027e-05,4.886e-05
14,0.00024834,2.174e-05,4.994e-05
15,0.00025128,2.331e-05,5.102e-05
16,0.00025431,2.507e-05,5.219e-05
17,0.00025793,2.683e-05,5.317e-05
18,0.00026195,2.84e-05,5.484e-05
19,0.00026587,3.016e-05,5.582e-05
20,0.00026949,3.222e-05,5.68e-05
21,0.00027204,3.349e-05,5.797e-05
22,0.00027429,3.496e-05,5.905e-05
23,0.00027693,3.662e-05,6.003e-05
24,0.00028016,3.839e-05,6.11e-05
25,0.00028271,4.015e-05,6.208e-05
26,0.00028711,4.172e-05,6.306e-05
27,0.00029005,4.348e-05,6.414e-05
28,0.00029407,4.524e-05,6.522e-05
29,0.00029877,4.681e-05,6.62e-05
30,0.00030298,4.837e-05,6.717e-05
31,0.0003066,5.014e-05,6.815e-05
32,0.00031003,5.19e-05,6.943e-05
33,0.00031267,5.357e-05,7.05e-05
34,0.00031747,5.699e-05,7.148e-05
35,0.00032129,5.876e-05,8.676e-05
36,0.00032501,6.003e-05,8.764e-05
37,0.00032805,6.14e-05,8.852e-05
38,0.00034156,6.297e-05,8.95e-05
39,0.00034538,6.463e-05,9.048e-05
40,0.00034803,6.64e-05,9.175e-05
41,0.00035135,6.806e-05,9.264e-05
42,0.00035468,6.973e-05,9.362e-05
43,0.00035821,7.149e-05,9.489e-05
44,0.00036262,7.335e-05,9.587e-05
45,0.00037074,7.482e-05,9.685e-05
46,0.00037554,7.648e-05,9.783e-05
47,0.00037887,7.834e-05,9.881e-05
48,0.00039816,8.011e-05,9.969e-05
49,0.00040071,8.177e-05,0.00010067
